 и 537;
 равно 6;
 ждет 6;
 цвет 6;
 новый 6;
 готов 6;
 слез 6;
 летит 6;
 ваш 6;
 конечно 6;
 тени 6;
 увы 6;
 любил 6;
 две 6;
 любовью 6;
 опять 6;
 утра 6;
 снова 6;
 тихо 6;
 скоро 6;
 рад 6;
 роман 6;
 двор 6;
 ждала 6;
 мало 6;
 кому 6;
 нею 6;
 старины 6;
 знаю 6;
 стол 6;
 один 6;
 свою 6;
 владимир 6;
 сердцем 6;
 ко 6;
 луна 6;
 ольги 6;
 тебе 6;
 могу 6;
 речи 6;
 таня 6;
 татьяны 6;
 медведь 6;
 глава 5;
 i 5;
 ii 5;
 думал 5;
 моего 5;
 сей 5;
 iii 5;
 отец 5;
 сперва 5;
 мил 5;
 сад 5;
 iv 5;
 двора 5;
 больше 5;
 слава 5;
 vi 5;
 vii 5;
 читал 5;
 viii 5;
 ix 5;
 x 5;
 xi 5;
 xii 5;
 xiii 5;
 xiv 5;
 xv 5;
 самом 5;
 дома 5;
 вечер 5;
 покамест 5;
 едет 5;
 xvi 5;
 край 5;
 младой 5;
 ваши 5;
 душой 5;
 идет 5;
 дело 5;
 модных 5;
 мою 5;
 прямо 5;
 какой 5;
 славы 5;
 грудь 5;
 раз 5;
 среди 5;
 были 5;
 наши 5;
 тому 5;
 перо 5;
 себе 5;
 жар 5;
 тот 5;
 часто 5;
 небо 5;
 душою 5;
 лишь 5;
 родной 5;
 важно 5;
 боле 5;
 тень 5;
 голос 5;
 дев 5;
 блажен 5;
 плоды 5;
 семья 5;
 слово 5;
 стихи 5;
 той 5;
 чуть 5;
 нынче 5;
 оно 5;
 эти 5;
 ну 5;
 милая 5;
 тобой 5;
 вся 5;
 боже 4;
 скука 4;
 думать 4;
 добрый 4;
 шутя 4;
 юности 4;
 богу 4;
 всего 4;
 земли 4;
 страсти 4;
 зато 4;
 почему 4;
 понять 4;
 целый 4;
 дыша 4;
 любя 4;
 звук 4;
 тишине 4;
 какие 4;
 собой 4;
 будет 4;
 уверен 4;
 юных 4;
 xvii 4;
 каждый 4;
 xviii 4;
 годы 4;
 свободы 4;
 xix 4;
 глас 4;
 девы 4;
 xx 4;
 xxi 4;
 наводит 4;
 xxii 4;
 домой 4;
 xxiii 4;
 лес 4;
 забав 4;
 xxiv 4;
 xxv 4;
 крайней 4;
 мере 4;
 xxvi 4;
 мое 4;
 вижу 4;
 бедный 4;
 xxvii 4;
 xxviii 4;
 рукой 4;
 полна 4;
 xxix 4;
 хочу 4;
 пишу 4;
 xxx 4;
 сих 4;
 младость 4;
 xxxi 4;
 похвал 4;
 xxxii 4;
 xxxiii 4;
 желал 4;
 таким 4;
 розы 4;
 xxxiv 4;
 xxxv 4;
 xxxvi 4;
 готова 4;
 xxxvii 4;
 чувства 4;
 предмет 4;
 затем 4;
 xxxviii 4;
 xxxix 4;
 лета 4;
 писать 4;
 чужой 4;
 обман 4;
 придет 4;
 тотчас 4;
 нашел 4;
 будто 4;
 мной 4;
 другом 4;
 твой 4;
 моих 4;
 право 4;
 окно 4;
 судьбу 4;
 другой 4;
 своего 4;
 нашей 4;
 пел 4;
 бежал 4;
 соседа 4;
 чай 4;
 лед 4;
 улыбкой 4;
 поэта 4;
 говорил 4;
 уже 4;
 невинной 4;
 которой 4;
 итак 4;
 супругом 4;
 надежды 4;
 татьяне 4;
 знала 4;
 влюблена 4;
 дай 4;
 пишет 4;
 красавиц 4;
 нежней 4;
 любит 4;
 живой 4;
 писали 4;
 ваша 4;
 сквозь 4;
 поток 4;
 едва 4;
 оды 4;
 волею 3;
 романа 3;
 позвольте 3;
 приятель 3;
 некогда 3;
 жил 3;
 бала 3;
 ходила 3;
 monsieur 3;
 l 3;
 слегка 3;
 пришла 3;
 нежной 3;
 моде 3;
 одет 3;
 чего 3;
 многих 3;
 моды 3;
 ныне 3;
 охоты 3;
 есть 3;
 умел 3;
 имеет 3;
 отрада 3;
 лень 3;
 мятежный 3;
 надежду 3;
 блистал 3;
 свиданья 3;
 женой 3;
 нему 3;
 темно 3;
 садится 3;
 вошел 3;
 вина 3;
 волшебный 3;
 те 3;
 другие 3;
 унылый 3;
 лорнет 3;
 буду 3;
 полон 3;
 кипит 3;
 окружена 3;
 взором 3;
 молвил 3;
 неги 3;
 столе 3;
 прав 3;
 наряд 3;
 вкусе 3;
 взгляд 3;
 гораздо 3;
 меньше 3;
 веселый 3;
 герой 3;
 милых 3;
 желаний 3;
 ума 3;
 услуги 3;
 потому 3;
 блеск 3;
 радость 3;
 найдете 3;
 ног 3;
 тревожат 3;
 неге 3;
 легкий 3;
 след 3;
 однако 3;
 зимой 3;
 уста 3;
 ланит 3;
 руках 3;
 воображенье 3;
 кровь 3;
 песен 3;
 утро 3;
 спит 3;
 счастлив 3;
 наслаждений 3;
 красавицы 3;
 дум 3;
 русская 3;
 сплетни 3;
 прежде 3;
 правда 3;
 вздор 3;
 бурных 3;
 бред 3;
 нравились 3;
 обоих 3;
 душе 3;
 прелесть 3;
 онегина 3;
 вод 3;
 стоял 3;
 пленяли 3;
 рожок 3;
 напев 3;
 полный 3;
 ночей 3;
 воле 3;
 небом 3;
 онегиным 3;
 большой 3;
 дяди 3;
 старика 3;
 зевал 3;
 деревню 3;
 други 3;
 гости 3;
 лесов 3;
 путь 3;
 поля 3;
 деревне 3;
 стихов 3;
 верная 3;
 жена 3;
 тишины 3;
 читаю 3;
 деревня 3;
 чтобы 3;
 клеветы 3;
 портрет 3;
 кстати 3;
 поэты 3;
 предметы 3;
 тайный 3;
 твоя 3;
 никого 3;
 вослед 3;
 темный 3;
 героя 3;
 горой 3;
 сени 3;
 должны 3;
 другу 3;
 старинных 3;
 деревенский 3;
 одном 3;
 года 3;
 увидя 3;
 этом 3;
 сначала 3;
 таков 3;
 поклонник 3;
 надежда 3;
 мира 3;
 юный 3;
 сомненья 3;
 цель 3;
 честь 3;
 рука 3;
 мир 3;
 свете 3;
 искусства 3;
 нежных 3;
 разлуку 3;
 печаль 3;
 даль 3;
 собою 3;
 делать 3;
 дружбы 3;
 онегину 3;
 устах 3;
 гроба 3;
 любим 3;
 точно 3;
 любить 3;
 плененный 3;
 простите 3;
 луну 3;
 прогулки 3;
 ольге 3;
 признаться 3;
 сама 3;
 молча 3;
 даже 3;
 темноте 3;
 любила 3;
 зари 3;
 доле 3;
 ричардсона 3;
 пустой 3;
 который 3;
 грандисон 3;
 одета 3;
 горе 3;
 муж 3;
 знает 3;
 стала 3;
 привычка 3;
 большое 3;
 зиму 3;
 альбом 3;
 соседей 3;
 год 3;
 лежит 3;
 надгробный 3;
 памятник 3;
 сердцу 3;
 печальной 3;
 наше 3;
 жребий 3;
 единый 3;
 чья 3;
 беда 3;
 эту 3;
 весь 3;
 скорей 3;
 пошла 3;
 невольно 3;
 речей 3;
 любовник 3;
 порок 3;
 венок 3;
 небес 3;
 встречи 3;
 скучно 3;
 старине 3;
 видно 3;
 плакать 3;
 сердечный 3;
 оставь 3;
 уме 3;
 дышит 3;
 ужели 3;
 русски 3;
 права 3;
 слышит 3;
 мать 3;
 суждено 3;
 страшно 3;
 дрожит 3;
 пар 3;
 тихонько 3;
 здорова 3;
 пошли 3;
 кусты 3;
 песенку 3;
 красных 3;
 томим 3;
 сколько 3;
 зная 3;
 такой 3;
 дева 3;
 затей 3;
 элегии 3;
 конь 3;
 бордо 3;
 природа 3;
 спешит 2;
 дядя 2;
 самых 2;
 правил 2;
 уважать 2;
 лучше 2;
 другим 2;
 наука 2;
 какое 2;
 забавлять 2;
 печально 2;
 вздыхать 2;
 повеса 2;
 летя 2;
 пыли 2;
 брегах 2;
 невы 2;
 давал 2;
 судьба 2;
 хранила 2;
 убогой 2;
 бранил 2;
 гулять 2;
 мятежной 2;
 грусти 2;
 последней 2;
 увидел 2;
 французски 2;
 писал 2;
 умен 2;
 понемногу 2;
 чему 2;
 немудрено 2;
 малый 2;
 педант 2;
 имел 2;
 счастливый 2;
 коснуться 2;
 ученым 2;
 видом 2;
 эпиграмм 2;
 если 2;
 сказать 2;
 разбирать 2;
 конце 2;
 письма 2;
 греха 2;
 минувших 2;
 памяти 2;
 имея 2;
 звуков 2;
 глубокой 2;
 судить 2;
 живет 2;
 простой 2;
 залог 2;
 пересказать 2;
 гений 2;
 наук 2;
 труд 2;
 кончил 2;
 вдали 2;
 италии 2;
 лицемерить 2;
 заставить 2;
 верить 2;
 казаться 2;
 молчалив 2;
 сердечных 2;
 одним 2;
 забыть 2;
 пугать 2;
 минуту 2;
 невинных 2;
 страстью 2;
 признанья 2;
 уроки 2;
 тревожить 2;
 сети 2;
 супруг 2;
 старик 2;
 величавый 2;
 довольный 2;
 обедом 2;
 постеле 2;
 несут 2;
 деле 2;
 зовут 2;
 бал 2;
 надев 2;
 широкий 2;
 пока 2;
 обед 2;
 пади 2;
 крик 2;
 beef 2;
 лучший 2;
 пирог 2;
 живым 2;
 злой 2;
 обожатель 2;
 кулис 2;
 рой 2;
 дидло 2;
 славой 2;
 сению 2;
 печальный 2;
 услышу 2;
 русской 2;
 терпсихоры 2;
 сцене 2;
 разочарованный 2;
 равнодушный 2;
 безмолвно 2;
 былом 2;
 ложи 2;
 шумит 2;
 послушна 2;
 стоит 2;
 одной 2;
 медленно 2;
 пух 2;
 уст 2;
 стан 2;
 ножку 2;
 ногам 2;
 сторон 2;
 рассеянье 2;
 надоел 2;
 скачут 2;
 перестали 2;
 фонари 2;
 господ 2;
 изображу 2;
 верной 2;
 уединенный 2;
 кабинет 2;
 волнам 2;
 роскоши 2;
 модной 2;
 осьмнадцать 2;
 чувств 2;
 кривые 2;
 ногтей 2;
 руссо 2;
 замечу 2;
 важный 2;
 можно 2;
 красе 2;
 обычай 2;
 ревнивых 2;
 франт 2;
 подобный 2;
 ветреной 2;
 богиня 2;
 последнем 2;
 светом 2;
 смело 2;
 слов 2;
 слог 2;
 встарь 2;
 стремглав 2;
 поскакал 2;
 вдоль 2;
 дом 2;
 голов 2;
 народу 2;
 летают 2;
 жен 2;
 веселий 2;
 балов 2;
 места 2;
 прошу 2;
 заметить 2;
 речь 2;
 также 2;
 маменьки 2;
 забавы 2;
 нравы 2;
 россии 2;
 женских 2;
 помню 2;
 пустыне 2;
 цветы 2;
 снеге 2;
 любили 2;
 прикосновенье 2;
 дианы 2;
 ланиты 2;
 длинной 2;
 зал 2;
 моря 2;
 скал 2;
 чередою 2;
 волнами 2;
 младых 2;
 пламенных 2;
 держу 2;
 тоска 2;
 ими 2;
 пробужден 2;
 встает 2;
 хрустит 2;
 приятный 2;
 дым 2;
 шумом 2;
 спокойно 2;
 завтра 2;
 цвете 2;
 пиров 2;
 дружба 2;
 голова 2;
 брань 2;
 короче 2;
 хандра 2;
 захотел 2;
 вовсе 2;
 томный 2;
 вздох 2;
 ничто 2;
 хl 2;
 хli 2;
 оставил 2;
 скучен 2;
 дама 2;
 вообще 2;
 несносный 2;
 полны 2;
 вид 2;
 xliii 2;
 которых 2;
 зевая 2;
 хотел 2;
 пера 2;
 коих 2;
 полку 2;
 толку 2;
 книги 2;
 черты 2;
 мечтам 2;
 знали 2;
 оба 2;
 xlvi 2;
 привык 2;
 xlvii 2;
 порою 2;
 лик 2;
 воспомня 2;
 романы 2;
 прежнюю 2;
 ночи 2;
 xlviii 2;
 пиит 2;
 раздавался 2;
 реке 2;
 песня 2;
 удалая 2;
 ночных 2;
 xlix 2;
 вдохновенья 2;
 лире 2;
 златой 2;
 негой 2;
 брожу 2;
 жду 2;
 бурь 2;
 начну 2;
 скучный 2;
 брег 2;
 сумрачной 2;
 li 2;
 мною 2;
 увидеть 2;
 страны 2;
 долгой 2;
 срок 2;
 видя 2;
 издалека 2;
 посланье 2;
 почте 2;
 ради 2;
 скуку 2;
 дань 2;
 съезжались 2;
 ели 2;
 делом 2;
 прежний 2;
 дня 2;
 журчанье 2;
 поле 2;
 занимали 2;
 ясно 2;
 та 2;
 рожден 2;
 мирной 2;
 сны 2;
 озером 2;
 пустынным 2;
 сладкой 2;
 предан 2;
 байрон 2;
 снились 2;
 образ 2;
 муза 2;
 идеал 2;
 берегов 2;
 вопрос 2;
 вздыхает 2;
 толпе 2;
 посвятил 2;
 лаской 2;
 твое 2;
 стих 2;
 безотрадно 2;
 рифм 2;
 муки 2;
 забывшись 2;
 рисует 2;
 бури 2;
 трудов 2;
 золотые 2;
 густые 2;
 впрочем 2;
 моему 2;
 нужды 2;
 покое 2;
 сорок 2;
 просто 2;
 пол 2;
 тетрадь 2;
 водой 2;
 иные 2;
 раб 2;
 благословил 2;
 углу 2;
 своем 2;
 сосед 2;
 крыльца 2;
 дороги 2;
 пьет 2;
 вино 2;
 пору 2;
 столь 2;
 подавал 2;
 дух 2;
 пылкий 2;
 черные 2;
 друга 2;
 невежда 2;
 верил 2;
 родная 2;
 должна 2;
 сожаленье 2;
 мученье 2;
 поэтическим 2;
 порывы 2;
 послушный 2;
 мысли 2;
 неба 2;
 вздохов 2;
 беседы 2;
 шумной 2;
 благоразумный 2;
 родне 2;
 жених 2;
 прочили 2;
 заводит 2;
 дуня 2;
 шепчут 2;
 приди 2;
 сердечно 2;
 камень 2;
 верхом 2;
 стали 2;
 люди 2;
 предрассудки 2;
 чувство 2;
 смешно 2;
 слушал 2;
 ленского 2;
 вечно 2;
 вдохновенный 2;
 пускай 2;
 верит 2;
 добро 2;
 прилежно 2;
 умы 2;
 сожаленья 2;
 волненья 2;
 вражду 2;
 мукой 2;
 верный 2;
 капитал 2;
 труда 2;
 шевелит 2;
 старый 2;
 клонит 2;
 исповедь 2;
 совесть 2;
 простодушно 2;
 младую 2;
 повесть 2;
 желанье 2;
 красы 2;
 ольгою 2;
 мук 2;
 смиренной 2;
 восторгов 2;
 мысль 2;
 игры 2;
 уединенье 2;
 посвящали 2;
 поцелуй 2;
 мила 2;
 глаза 2;
 улыбка 2;
 движенья 2;
 заняться 2;
 звалась 2;
 страницы 2;
 приятно 2;
 звучно 2;
 стихах 2;
 татьяной 2;
 молчалива 2;
 лесная 2;
 умела 2;
 матери 2;
 детей 2;
 играть 2;
 хотела 2;
 окна 2;
 подруга 2;
 мечтами 2;
 склонясь 2;
 узором 2;
 властвовать 2;
 руки 2;
 вела 2;
 звонкий 2;
 небосклоне 2;
 хоровод 2;
 луне 2;
 обманы 2;
 видал 2;
 вреда 2;
 неволе 2;
 спросясь 2;
 вскоре 2;
 плакала 2;
 ничем 2;
 тайну 2;
 альбомы 2;
 корсет 2;
 забыла 2;
 звать 2;
 катилась 2;
 кой 2;
 проходит 2;
 едут 2;
 раза 2;
 песни 2;
 народ 2;
 слушает 2;
 гостям 2;
 венец 2;
 иной 2;
 прах 2;
 гласит 2;
 смиренный 2;
 грустно 2;
 ольгу 2;
 отца 2;
 мгновенной 2;
 xl 2;
 чье 2;
 судьбой 2;
 летучие 2;
 творенья 2;
 elle 2;
 etait 2;
 вечера 2;
 лариных 2;
 чудно 2;
 помилуй 2;
 трудно 2;
 слушай 2;
 вечный 2;
 жаль 2;
 мыслей 2;
 поедем 2;
 явились 2;
 дорогой 2;
 украдкой 2;
 пошел 2;
 которая 2;
 светлана 2;
 точь 2;
 лицом 2;
 эта 2;
 отвечал 2;
 слушала 2;
 тайком 2;
 отрадой 2;
 тоской 2;
 роковой 2;
 очи 2;
 силой 2;
 каким 2;
 читает 2;
 сладостный 2;
 счастливой 2;
 мечтанья 2;
 бродит 2;
 находит 2;
 сердечной 2;
 чужую 2;
 лад 2;
 совершенства 2;
 достойный 2;
 небылицы 2;
 стал 2;
 угрозы 2;
 тайные 2;
 перескажу 2;
 старых 2;
 лип 2;
 несчастной 2;
 мученья 2;
 страстной 2;
 лью 2;
 модного 2;
 отдала 2;
 искуситель 2;
 татьяну 2;
 гонит 2;
 недвижны 2;
 далее 2;
 настанет 2;
 свод 2;
 мгле 2;
 напевы 2;
 говорит 2;
 тринадцать 2;
 недели 2;
 страха 2;
 пеньем 2;
 нездорова 2;
 господь 2;
 спаси 2;
 хочешь 2;
 водою 2;
 знаешь 2;
 тобою 2;
 старушке 2;
 седой 2;
 далеко 2;
 одну 2;
 облокотясь 2;
 письме 2;
 зима 2;
 видали 2;
 других 2;
 ведает 2;
 своенравной 2;
 милое 2;
 цену 2;
 вернее 2;
 хитрый 2;
 журналов 2;
 читала 2;
 трудом 2;
 языке 2;
 писала 2;
 доныне 2;
 читать 2;
 страх 2;
 которым 2;
 грехи 2;
 мило 2;
 вняв 2;
 трепет 2;
 будут 2;
 нежного 2;
 певец 2;
 томной 2;
 печальных 2;
 внушал 2;
 картины 2;
 бледный 2;
 поверьте 2;
 стыда 2;
 слышать 2;
 говорят 2;
 неопытной 2;
 супруга 2;
 богом 2;
 хранитель 2;
 чудный 2;
 вмиг 2;
 тиши 2;
 твоей 2;
 никто 2;
 тяжелый 2;
 перечесть 2;
 порукой 2;
 сиянье 2;
 гаснет 2;
 сидит 2;
 сделай 2;
 одолженье 2;
 видишь 2;
 внука 2;
 стара 2;
 барской 2;
 сегодня 2;
 блистая 2;
 вечерний 2;
 струею 2;
 мальчик 2;
 стояла 2;
 задумавшись 2;
 легче 2;
 взглянуть 2;
 назад 2;
 смеет 2;
 мигом 2;
 куртины 2;
 аллею 2;
 упала 2;
 саду 2;
 служанки 2;
 девицы 2;
 молодца 2;
 вишеньем 2;
 ходи 2;
 внимая 2;
 ярче 2;
 горит 2;
 мотылек 2;
 блещет 2;
 остановилася 2;
 отдохнуть 2;
 la 2;
 клятвы 2;
 кольцы 2;
 искал 2;
 злость 2;
 поутру 2;
 поедет 2;
 тани 2;
 тронут 2;
 мечтаний 2;
 думы 2;
 вспомнил 2;
 волненье 2;
 картиной 2;
 кроме 2;
 бедная 2;
 назначен 2;
 легкие 2;
 всякий 2;
 беде 2;
 подал 2;
 руку 2;
 оперлась 2;
 враги 2;
 мире 2;
 друзей 2;
 пустые 2;
 стократ 2;
 гм 2;
 родные 2;
 самого 2;
 печали 2;
 постели 2;
 бежит 2;
 часу 2;
 сладостной 2;
 предался 2;
 сидят 2;
 утренней 2;
 смятенье 2;
 одежды 2;
 глубоко 2;
 берет 2;
 пером 2;
 знак 2;
 гробовой 2;
 доски 2;
 рифмачей 2;
 проворно 2;
 мадригалы 2;
 трубу 2;
 отвсюду 2;
 ольга 2;
 случалось 2;
 шуток 2;
 выходит 2;
 дорогу 2;
 почуя 2;
 путник 2;
 зимних 2;
 полей 2;
 льдом 2;
 вьется 2;
 длинный 2;
 пеной 2;
 веселых 2;
 снов 2;
 подобен 2;
 велели 2;
 такого 2;
 гимена 2;
 дворе 2;
 зимы 2;
 ярко 2;
 луны 2;
 стороны 2;
 звезда 2;
 гадает 2;
 светил 2;
 зеркало 2;
 ворожить 2;
 стало 2;
 снится 2;
 через 2;
 ручей 2;
 поднять 2;
 первая 1;
 жить 1;
 торопится 1;
 чувствовать 1;
 кн 1;
 вяземский 1;
 честных 1;
 шутку 1;
 занемог 1;
 заставил 1;
 выдумать 1;
 пример 1;
 какая 1;
 больным 1;
 сидеть 1;
 отходя 1;
 шагу 1;
 прочь 1;
 низкое 1;
 коварство 1;
 полуживого 1;
 подушки 1;
 поправлять 1;
 подносить 1;
 лекарство 1;
 черт 1;
 возьмет 1;
 почтовых 1;
 всевышней 1;
 зевеса 1;
 наследник 1;
 родных 1;
 людмилы 1;
 руслана 1;
 героем 1;
 предисловий 1;
 познакомить 1;
 родился 1;
 родились 1;
 блистали 1;
 гулял 1;
 вреден 1;
 север 1;
 1 1;
 служив 1;
 отлично 1;
 благородно 1;
 долгами 1;
 ежегодно 1;
 промотался 1;
 евгения 1;
 madame 1;
 сменил 1;
 ребенок 1;
 резов 1;
 abbe 1;
 француз 1;
 измучилось 1;
 учил 1;
 всему 1;
 докучал 1;
 моралью 1;
 строгой 1;
 шалости 1;
 летний 1;
 водил 1;
 евгению 1;
 надежд 1;
 прогнали 1;
 свободе 1;
 острижен 1;
 dandy 1;
 2 1;
 лондонский 1;
 совершенно 1;
 изъясняться 1;
 легко 1;
 мазурку 1;
 танцевал 1;
 кланялся 1;
 непринужденно 1;
 решил 1;
 учились 1;
 воспитаньем 1;
 блеснуть 1;
 мненью 1;
 судей 1;
 решительных 1;
 строгих 1;
 ученый 1;
 талант 1;
 принужденья 1;
 разговоре 1;
 знатока 1;
 хранить 1;
 молчанье 1;
 важном 1;
 споре 1;
 возбуждать 1;
 улыбку 1;
 нежданных 1;
 латынь 1;
 вышла 1;
 правду 1;
 латыне 1;
 эпиграфы 1;
 потолковать 1;
 ювенале 1;
 поставить 1;
 vale 1;
 помнил 1;
 энеиды 1;
 стиха 1;
 рыться 1;
 хронологической 1;
 бытописания 1;
 анекдоты 1;
 ромула 1;
 хранил 1;
 высокой 1;
 щадить 1;
 ямба 1;
 хорея 1;
 бились 1;
 отличить 1;
 гомера 1;
 феокрита 1;
 адама 1;
 смита 1;
 эконом 1;
 государство 1;
 богатеет 1;
 нужно 1;
 золота 1;
 продукт 1;
 отдавал 1;
 недосуг 1;
 истинный 1;
 тверже 1;
 измлада 1;
 мука 1;
 занимало 1;
 тоскующую 1;
 которую 1;
 воспел 1;
 назон 1;
 страдальцем 1;
 век 1;
 блестящий 1;
 молдавии 1;
 степей 1;
 таить 1;
 ревновать 1;
 разуверять 1;
 мрачным 1;
 изнывать 1;
 являться 1;
 гордым 1;
 послушным 1;
 внимательным 1;
 равнодушным 1;
 томно 1;
 пламенно 1;
 красноречив 1;
 письмах 1;
 небрежен 1;
 быстр 1;
 нежен 1;
 стыдлив 1;
 дерзок 1;
 послушною 1;
 слезой 1;
 новым 1;
 невинность 1;
 изумлять 1;
 отчаяньем 1;
 готовым 1;
 приятной 1;
 лестью 1;
 ловить 1;
 умиленья 1;
 предубежденья 1;
 побеждать 1;
 невольной 1;
 ласки 1;
 ожидать 1;
 молить 1;
 требовать 1;
 подслушать 1;
 преследовать 1;
 добиться 1;
 тайного 1;
 наедине 1;
 давать 1;
 кокеток 1;
 записных 1;
 хотелось 1;
 уничтожить 1;
 соперников 1;
 язвительно 1;
 злословил 1;
 готовил 1;
 блаженные 1;
 мужья 1;
 оставались 1;
 ласкал 1;
 лукавый 1;
 фобласа 1;
 давний 1;
 ученик 1;
 недоверчивый 1;
 рогоносец 1;
 записочки 1;
 приглашенья 1;
 детский 1;
 праздник 1;
 поскачет 1;
 проказник 1;
 начнет 1;
 поспеть 1;
 утреннем 1;
 уборе 1;
 боливар 1;
 3 1;
 бульвар 1;
 гуляет 1;
 просторе 1;
 недремлющий 1;
 брегет 1;
 прозвонит 1;
 санки 1;
 раздался 1;
 морозной 1;
 пылью 1;
 серебрится 1;
 бобровый 1;
 воротник 1;
 talon 1;
 4 1;
 помчался 1;
 каверин 1;
 пробка 1;
 потолок 1;
 кометы 1;
 брызнул 1;
 ток 1;
 roast 1;
 окровавленный 1;
 трюфли 1;
 роскошь 1;
 французской 1;
 кухни 1;
 страсбурга 1;
 нетленный 1;
 сыром 1;
 лимбургским 1;
 ананасом 1;
 золотым 1;
 бокалов 1;
 жажда 1;
 просит 1;
 залить 1;
 горячий 1;
 жир 1;
 котлет 1;
 звон 1;
 брегета 1;
 доносит 1;
 начался 1;
 балет 1;
 театра 1;
 законодатель 1;
 непостоянный 1;
 очаровательных 1;
 актрис 1;
 почетный 1;
 гражданин 1;
 полетел 1;
 театру 1;
 вольностью 1;
 охлопать 1;
 entrechat 1;
 обшикать 1;
 федру 1;
 клеопатру 1;
 моину 1;
 вызвать 1;
 слышали 1;
 стары 1;
 сатиры 1;
 смелый 1;
 властелин 1;
 фонвизин 1;
 переимчивый 1;
 княжнин 1;
 озеров 1;
 невольны 1;
 дани 1;
 народных 1;
 рукоплесканий 1;
 семеновой 1;
 делил 1;
 катенин 1;
 воскресил 1;
 корнеля 1;
 вывел 1;
 колкий 1;
 шаховской 1;
 комедий 1;
 шумный 1;
 венчался 1;
 младые 1;
 неслись 1;
 богини 1;
 внемлите 1;
 сменив 1;
 заменили 1;
 хоры 1;
 узрю 1;
 исполненный 1;
 полет 1;
 найдет 1;
 знакомых 1;
 лиц 1;
 скучной 1;
 устремив 1;
 чуждый 1;
 веселья 1;
 зритель 1;
 зевать 1;
 воспоминать 1;
 театр 1;
 блещут 1;
 партер 1;
 кресла 1;
 райке 1;
 нетерпеливо 1;
 плещут 1;
 взвившись 1;
 занавес 1;
 блистательна 1;
 полувоздушна 1;
 смычку 1;
 волшебному 1;
 толпою 1;
 нимф 1;
 истомина 1;
 ногой 1;
 касаясь 1;
 пола 1;
 другою 1;
 кружит 1;
 прыжок 1;
 эола 1;
 совьет 1;
 разовьет 1;
 быстрой 1;
 ножкой 1;
 бьет 1;
 хлопает 1;
 входит 1;
 кресел 1;
 двойной 1;
 скосясь 1;
 незнакомых 1;
 ярусы 1;
 окинул 1;
 видел 1;
 лицами 1;
 убором 1;
 ужасно 1;
 недоволен 1;
 мужчинами 1;
 раскланялся 1;
 сцену 1;
 большом 1;
 взглянул 1;
 отворотился 1;
 зевнул 1;
 смену 1;
 балеты 1;
 терпел 1;
 5 1;
 амуры 1;
 черти 1;
 змеи 1;
 шумят 1;
 усталые 1;
